prioridad,producto,multiunidad,razon_social,establecimientos,tamano,sector,actividad,correo,correo_nominal,telefono,web,colonia,cp
44,01 Dictamen IFS,no,YOREME CORTES Y PROCESOS SA DE CV,1,51-100,Comercio menudeo,Comercio al por menor de carnes rojas,TNACUL@YOREME.COM,no,,,UNION DE LADRILLEROS,
44,01 Dictamen IFS,no,AUTO LINEAS DE PASAJE Y CARGA SAHUARO SA DE CV,1,51-100,Transportes,Transporte colectivo foráneo de pasajeros de ruta fija,LORENNIA@HOTMAIL.COM,no,,,SAN BENITO,83190
44,01 Dictamen IFS,no,AUTOTRANSPORTE ORBA SA DE CV,1,51-100,Transportes,Autotransporte local de materiales y residuos peligrosos,AUTOTRANSPORTESORBA2@HOTMAIL.COM,no,,WWW.AUTOTRANSPORTESORBA.COM,CUARTEL XX CAFE COMBATE,83165
44,01 Dictamen IFS,no,GRUPO PIAZAA ROMA SA DE CV,1,51-100,Transportes,Otro autotransporte local de carga especializado,GPR@GRUPOECO.COM.MX,no,,,PARQUE INDUSTRIA,83299
44,01 Dictamen IFS,no,MULTISERVICIO LUGO SA DE CV,1,51-100,Transportes,Otro autotransporte foráneo de carga general,MULTILUGO@HOTMAIL.COM,no,,,SAN JOSE DE LAS MINITAS,83285
44,01 Dictamen IFS,no,RANSPORTADORA Y LOGISTICA ALANTE SA DE CV,1,51-100,Transportes,Autotransporte foráneo de productos agrícolas sin refrigeración,FACTURAS@ALANTEMX.COM,no,,WWW.ALANTEMX.COM,PARQUE INDUSTRIAL,83299
44,01 Dictamen IFS,no,TRANSPORTES COTMAL SA DE CV,1,51-100,Transportes,Autotransporte foráneo con refrigeración,TRANSPORTES.COTMAL@HOTMAIL.COM,sí,,,BANUS,83106
44,01 Dictamen IFS,no,TRANSPORTES GARGOM DEL NOROESTE SA DE CV,1,51-100,Transportes,Otro autotransporte foráneo de carga especializado,FACTURACION@TGARGOM.COM,no,,WWW.TGARGOM.COM,SAN PEDRO,83305
44,01 Dictamen IFS,no,TRANSPORTES LOUSTAUNAU SA DE CV,1,51-100,Transportes,Autotransporte local de materiales y residuos peligrosos,NORMA.PAEZ@HANKA.COM.MX,sí,,,JESUS GARCIA,83140
44,01 Dictamen IFS,no,TRANSPORTES REFRIGERADOS COLIMAN SA DE CV,1,51-100,Transportes,Autotransporte foráneo con refrigeración,JORGE.MORENO@COLIMAN.COM,sí,,WWW.COLIMAN.COM,FERROCARRILERA,83013
44,01 Dictamen IFS,no,KABETEL SA DE CV,1,51-100,Información,Otros servicios de telecomunicaciones,CREZA@CONDUMEX.COM.MX,no,,,VILLA HERMOSA,83284
44,01 Dictamen IFS,no,MEDIOS Y EDITORIAL DE SONORA SA DE CV,1,51-100,Información,Edición de periódicos integrada con la impresión,ELIANA.GASTELUM@EXPRESO.COM.MX,sí,,WWW.EXPRESO.COM.MX,SAN BENITO,83190
44,01 Dictamen IFS,no,AON RISK SOLUTIONS AGENTE DE SEGUROS Y DE FIANZAS SA DE CV,1,51-100,Financieros,"Agentes, ajustadores y gestores de seguros y fianzas",LAURA.FERNANDA.GARCIA@AON.COM,no,,AON.COM,LOMAS DE PITIC,83010
44,01 Dictamen IFS,no,ESTRATEGIAS PATRIMONIALES GARANTIZADAS SA DE CV,1,51-100,Financieros,Sociedades financieras de objeto múltiple,IPINOL@CREDISOLUCIONES.COM,no,,WWW.CREDISOLUCIONES.COM,CENTRO,83000
44,01 Dictamen IFS,no,LIBERTY FIANZAS S.A. DE C.V. SA DE CV,1,51-100,Financieros,Compañías afianzadoras,RODOLFO.OCHOA@LIBERTYFIANZAS.COM,sí,,WWW.LIBERTYFIANZAS.COM,VALLE ESCONDIDO,83207
44,01 Dictamen IFS,no,CASA MUNIR SA DE CV,1,51-100,Financieros,Otras instituciones de intermediación crediticia y financiera no bursá,LGLB@CLITLALY.MX,no,,,LOPEZ PORTILLO,83104
44,01 Dictamen IFS,no,COPIADORAS Y SERVICIOS DE SONORA SA,1,51-100,Inmobiliario,Alquiler de equipo de cómputo y de otras máquinas y mobiliario de ofic,DCALDERON@KONICAS.COM.MX,no,,WWW.KONICAS.COM.MX,PRADOS DEL CENTENARIO,83260
44,01 Dictamen IFS,no,VALCOR CORPORATIVO PROFESIONAL S DE RL DE CV,1,51-100,Serv. profesionales,Servicios de contabilidad y auditoría,SARA@VALCOR.COM.MX,no,,,PERIODISTA,83156
44,01 Dictamen IFS,no,AYESA MEXICO S DE RL DE CV,1,51-100,Serv. profesionales,Servicios de diseño de sistemas de cómputo y servicios relacionados,EMARTINEZRA@AYESA.COM,no,,WWW.AYESA.COM,STANZA SOLARE RESIDENCIAL,83177
44,01 Dictamen IFS,no,ESTEBAN SANCHEZ Y ASOCIADOS SA,1,51-100,Serv. profesionales,Servicios de ingeniería,CONTABILIDAD@ESTEBANSANCHEZ.COM,no,,WWW.ESTEBANSANCHEZ.COM,VILLA SATELITE,83200
44,01 Dictamen IFS,no,EQUIPAMIENTOS URBANOS DE MEXICO SA DE CV,1,51-100,Serv. profesionales,Agencias de anuncios publicitarios,OSWALDO.BAHENA@JCDECAUX.COM,sí,,WWW.JCDECAUXLATAM.COM/MX,OLIVARES,83180
44,01 Dictamen IFS,no,HIDRO INGENIERIA Y CLIMAS SA DE CV,1,51-100,Serv. profesionales,Servicios de ingeniería,LIBIASOLANO@HICSA.COM.MX,no,,WWW.HICSA.COM,EL LLANO,83210
44,01 Dictamen IFS,no,INTERFASES Y SISTEMAS ELECTRONICOS SAPI DE CV,1,51-100,Serv. profesionales,Servicios de diseño de sistemas de cómputo y servicios relacionados,EDITH.CAMARGO@INTERSEL.COM.MX,sí,,WWW.INTERTEL.COM.MX,ELL LANITO,83174
44,01 Dictamen IFS,no,OESTEC DE MEXICO SA DE CV,1,51-100,Serv. profesionales,Servicios de ingeniería,OESTEC@OESTEC.COM.MX,no,,WWW.OESTEC.COM.MX,SAN BENITO,83190
44,01 Dictamen IFS,no,BANHER INDUSTRIES SA DE CV,1,51-100,Apoyo a negocios,Servicios de administración de negocios,BANHER.IND@GMAIL.COM,sí,,,CENTRO,83000
44,01 Dictamen IFS,no,CORPORATIVO DE PROTECCION SEGURIDAD PRIVADA Y SERVICIOS ESPECIALIZADOS SA DE CV,1,51-100,Apoyo a negocios,"Servicios de investigación y de protección y custodia, excepto mediant",KASHO_MINJAREZ@HOTMAIL.COM,sí,,,VALLES DEL MARQUEZ,83294
44,01 Dictamen IFS,no,EZ TRAVEL SA,1,51-100,Apoyo a negocios,Agencias de viajes,JESSICA.IBARRA@EZTRAVEL.MX,sí,,WWW.EZTRAVEL.MX,PITIC,83150
44,01 Dictamen IFS,no,GENOVES SERVICIOS INTEGRALES DE LIMPIEZA SA DE CV,1,51-100,Apoyo a negocios,Servicios de limpieza de inmuebles,ADRIANA.GESIL@GMAIL.COM,sí,,,EMILIANO ZAPATA,83280
44,01 Dictamen IFS,no,GSI SEGURIDAD PRIVADA SA DE CV,1,51-100,Apoyo a negocios,Servicios de protección y custodia mediante el monitoreo de sistemas d,LMENESES@GSI.COM,no,,WWW.COMETRA.COM,BALDERRAMA,83180
44,01 Dictamen IFS,no,MAXIFERZE CLEAN SA DE CV,1,51-100,Apoyo a negocios,Servicios combinados de apoyo en instalaciones,KELLITOVAR@HOTMAIL.COM,no,,,LOS VIÑEDOS,83120
44,01 Dictamen IFS,no,MULTISISTEMAS DE SEGURIDAD DEL NOROESTE SA DE CV,1,51-100,Apoyo a negocios,"Servicios de investigación y de protección y custodia, excepto mediant",FINANZAS.NOROESTE@MULTISISTEMAS.COM.MX,sí,,WWW.MULTISITEMAS.MX,CENTENARIO,83260
44,01 Dictamen IFS,no,RECOLECTORA DE DESECHOS Y RESIDUOS KING KONG SA DE CV,1,51-100,Apoyo a negocios,Recolección de residuos no peligrosos por el sector privado,ESANCHEZG@PASA.MX,no,,WWW.PASA.MX,PUERTO,
44,01 Dictamen IFS,no,SI OCEAN SERVICE S DE RL DE CV,1,51-100,Apoyo a negocios,Servicios de protección y custodia mediante el monitoreo de sistemas d,AUXILIARJURIDICO2@SEPSISA.COM.MX,no,,,SAN BENITO,83190
44,01 Dictamen IFS,no,TRANSFORMADORA DE MEXICO SA DE CV,1,51-100,Apoyo a negocios,Manejo de residuos peligrosos y servicios de remediación a zonas dañad,FTORRES@TOMMEXICO.COM,no,,,PARQUE INDUSTRIAL HERMOSILLO,83118
44,01 Dictamen IFS,no,CAMBRIDGE HILLS COLEGIO BICULTURAL SC,1,51-100,Educación,Escuelas del sector privado que combinan diversos niveles de educación,SILVIAMTZ@CAMBRIDGEHILL.EDU.MX,no,,WWW.CAMBRIDGEHILLS.EDU.MX,PROYECTO RIO SONORA,83288
44,01 Dictamen IFS,no,CENTRO DE EDUCACION SUPERIOR DEL MAR DE CORTEZ SC,1,51-100,Educación,Escuelas de educación superior del sector privado,PROMOCION.CUTSON@GMAIL.COM,sí,,CUSON.MX,COLINAS,83145
44,01 Dictamen IFS,no,COLEGIO AMERICANO DEL PACIFICO SC,1,51-100,Educación,Escuelas del sector privado que combinan diversos niveles de educación,MELISSA.LUCERO@CAPSC.EDU.MX,sí,,,LOMA LINDA,83150
44,01 Dictamen IFS,no,INSTITUTO AMERICANO DE HERMOSILLO AC,1,51-100,Educación,Escuelas del sector privado que combinan diversos niveles de educación,ADMINITRACION@CBNG.EDU.MX,no,,WWW.COLEGIOBILINGUENUEVAGALICIA.EDU.MX,ISSSTESON LUX,83260
44,01 Dictamen IFS,no,EL CONSEJERO S DE RL DE CV,1,51-100,Educación,Escuelas del sector privado que combinan diversos niveles de educación,JOSEMANUEL.BONLEON@GMAIL.COM,sí,,WWW.EMAUS-HERMOSILLO.COM,EL LLANO,83120
44,01 Dictamen IFS,no,COLEGIO LUX AC,1,51-100,Educación,Escuelas del sector privado que combinan diversos niveles de educación,INFO@COLEGIOLUX.EDU.COM,no,,WWW.COLEGIOLUX.EDU.MX,CENTENARIO,83260
44,01 Dictamen IFS,no,CENTRO REGIONAL DE FORMACION PROFESIONAL DOCENTE,1,51-100,Educación,Escuelas de educación superior del sector público,ENSH.DIRECCION@CRESON.EDU.MX,sí,,ENSH.CRESON.EDU.MX,CHOYAL,83136
44,01 Dictamen IFS,no,ESTANCIA INFANTIL KINDER EL PARAISO SC,1,51-100,Educación,Escuelas de educación preescolar del sector privado,GUARDERIAPARAISOHMO@GMAIL.COM,no,,,COUNTRY CLUB,83010
44,01 Dictamen IFS,no,FUNDACION PRESBITERO LUIS LOPEZ ROMO AC,1,51-100,Educación,Escuelas del sector privado que combinan diversos niveles de educación,CUEVAS_JUDITH@HOTMAIL.COM,sí,,,PALO VERDE,83280
44,01 Dictamen IFS,no,INSTITUTO DEL OCCIDENTE SC,1,51-100,Educación,Escuelas de educación superior del sector privado,DINA_RUIZ@IDEOCIDENTE.EDU.MX,sí,,WWW.INSTITUTODELOCCIDENTE.EDU.MX,CENTRO,83000
44,01 Dictamen IFS,no,EDUCACION TRILINGUE INTERNACIONAL AC,1,51-100,Educación,Escuelas del sector privado que combinan diversos niveles de educación,FACTURACION@KEYSTONE.EDU.MX,no,,WWW.KEYSTON.EDU.MX,SIENA RESIDENCIAL,83210
44,01 Dictamen IFS,no,INSTITUTO REGIONAL NORTE AC,1,51-100,Educación,Escuelas del sector privado que combinan diversos niveles de educación,VICTORM_59@HOTMAIL.COM,no,,,VALLE DORADO,83175
44,01 Dictamen IFS,no,SECUNDARIA 24 PROFESOR ALEJANDRO SOTELO BURRUEL,1,51-100,Educación,Escuelas de educación secundaria general del sector público,26EES0024G@ESCSONORA.EDU.MX,no,,,CENTRO,83000
44,01 Dictamen IFS,no,ESCUELA SECUNDARIA BICULTURAL THOMAS ALVA EDISON AC,1,51-100,Educación,Escuelas de educación secundaria general del sector privado,ECALDERON@HIHPOINTSCHOOL.MX,no,,WWW.HIGHPOINTSCHOOL.MX/SECUNDARIA-HERMOSILLO,NAZAREO RESIDENCIAL,83224
44,01 Dictamen IFS,no,UNIVERSIDAD DEL DESARROLLO PROFESIONAL SC,1,51-100,Educación,Escuelas de educación superior del sector privado,JOSUE.SALINASR@UNITED.EDU.MX,sí,,WWW.UNITEP.MX,LA VERBENA,83288
44,01 Dictamen IFS,no,FUNDACION TELETON MEXICO AC,1,51-100,Salud,Consultorios del sector privado de audiología y de terapia ocupacional,ROJO@TELETON-SON.ORG.MX,no,,,LAS QUINTAS HERMOSILLO,83240
44,01 Dictamen IFS,no,EDUCACION Y DESAROLLO INFANCIL AC,1,51-100,Salud,Guarderías del sector público,EDI_GUARDERIA@HOTMAIL.COM,sí,,,SAN BOSCO,83177
44,01 Dictamen IFS,no,DESARROLLO ACTIVO FARMACEUTICO SC,1,51-100,Salud,Guarderías del sector privado,LOS_PEQUES2010@HOTMAIL.COM,no,,,VALLE DEL MARQUES,83294
44,01 Dictamen IFS,no,ESTANCIA INFANTIL NUEVO DIA SC,1,51-100,Salud,Guarderías del sector privado,VICTORBONEO@YAHOO.COM,no,,,MÁRTIRES DE CANANEA,83110
44,01 Dictamen IFS,no,GUARDERIA DULCE DESPERTAR AC,1,51-100,Salud,Guarderías del sector privado,GDULCEDESPERTAR@GMAIL.COM,no,,,CASA BLANCA,83079
44,01 Dictamen IFS,no,GUARDERIA FUTURO MEJOR SC,1,51-100,Salud,Guarderías del sector privado,FUTUROMEJOR_@LIVE.COM,no,,,VILLA DEL PALMAR,83105
44,01 Dictamen IFS,no,GUARDERIA PEQUEÑOS GIGANTES SC,1,51-100,Salud,Guarderías del sector privado,PEQUENOS_G@HOTMAIL.COM,sí,,WWW.GUARDERIAPEQUENOSGIGANTES.COM/GUARDERIA,JACINTO LOPEZ,83105
44,01 Dictamen IFS,no,CENTRO DE ATENCIÓN DIAGNÓSTICO Y REHABILITACIÓN PRIVADO DE HERMOSILLO SC,1,51-100,Salud,Hospitales generales del sector privado,ADMIHOSPITALSANBENITO@HOTMAIL.COM,no,,WWW.HOSPITALSANBENITO.COM,SAN BENITO,83180
44,01 Dictamen IFS,no,SALUD POR IMAGEN DIGITAL SA DE CV,1,51-100,Salud,Laboratorios médicos y de diagnóstico del sector privado,RECEPCION@SALUDPORIMAGEN.COM,no,,WWW.SALUDPORIMAGEN.COM,CENTENARIO,83260
44,01 Dictamen IFS,no,SANATORIO SAN FRANCISCO DE HERMOSILLO SA DE CV,1,51-100,Salud,Hospitales generales del sector privado,RECURSOSHUMANOSSF79@GMAIL.COM,no,,,CENTRO,83000
44,01 Dictamen IFS,no,DEPORTIVO HMO SA DE CV,1,51-100,Esparcimiento,Equipos deportivos profesionales,ADMINISTRACION@CIMARRONESFC.COM.MX,no,,WWW.CIMARRONESFC.MX,EL LLANITO,83174
44,01 Dictamen IFS,no,COMPANIA OPERADORA AHIS SA DE CV,1,51-100,Esparcimiento,Otros juegos de azar,HOCANA@AHIS.COM.MX,no,,,REAL DEL ARCO,83255
44,01 Dictamen IFS,no,PROVEDORA Y COMERCIALIZADORA DE NEGOCIOS DE SONORA SA DE CV,1,51-100,Esparcimiento,Otros juegos de azar,MAVAGA_7406@HOTMAIL.COM,no,,WWW.FORTUNE.COM,SEMINARIO,83240
44,01 Dictamen IFS,no,POSADAS CANTABRIA SA,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,RECEPCION@HIEXHERMOSILLO.MX,no,,,LA RIOJA RESIDENCIAL,83224
44,01 Dictamen IFS,no,OPERAHOTELES DE SONORA SA,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,ARAIZAHERMOSILLO@ARAIZAHOTELES.MX,no,,WWW.ARAIZAHOTELES.COM,LOMAS PITIC,83010
44,01 Dictamen IFS,no,HOTELES COLONIAL SA DE CV,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,AUXILIAR.MXL@HOTELESCOLONIAL.COM,sí,,WWW.HOTELESCOLONIAL.COM,VILLA DE SERIS,83280
44,01 Dictamen IFS,no,CH HERMOSILLO SA,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,OLIVIA.LUNA@MARRIOTT.COM,sí,,WWW.MARRIOTT.COM,PERISUR,83294
44,01 Dictamen IFS,no,OPERAHOTELES TAVA AC,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,GRH@HIKINO.COM.MX,no,,,CONTRY CLUB,83010
44,01 Dictamen IFS,no,HOTEL KINO SA DE CV,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,CONTRALOR@HOTELSUITESKINO.COM,no,,WWW.HOTELSUITESKINO.COM,CENTRO,83000
44,01 Dictamen IFS,no,COMPAÑIA HOTELERA LUCERNA SA DE CV,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,CONTADOR.HERMOSILLO@HOTELLUCERNA.COM.MX,sí,,WWW.HOTELESLUCERNAHERMOSILLO.COM,PROYECTO RIO SONORA,
44,01 Dictamen IFS,no,SERVICIOS TURÍSTICOS DE GALICIA SA DE CV,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,FERMARBAR64@GMAIL.COM,no,,WWW.HOTELROYALPALACE.COM.MX,EL LLANO,83210
44,01 Dictamen IFS,no,PROMOCIONES TURÍSTICAS DE ASGAL SA DE CV,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,CONTADOR@HOTELSANANGEL.COM,no,,WWW.HOTELSANANGEL.COM,EL LLANO,83210
44,01 Dictamen IFS,no,SERVICIOS TURISTICOS DE ASGASO SA DE CV,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,RESERVACIONES@HOTELSANMARITN.NET,no,,WWW.HOTELSANMARTIN.NET,COLONIA SAN LUIS,83160
44,01 Dictamen IFS,no,SERVICIOS SONORENSES DE TURISMO SA DE CV,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,RESERVACIONES@HOTELSANSEBASTIAN.COM,no,,WWW.HOTELSANSEBASTIAN.COM.MX,Y GRIEGA,83290
44,01 Dictamen IFS,no,LA SIESTA MOTEL SA,1,51-100,Hospedaje y alimentos,Hoteles con otros servicios integrados,SIESTAMOTEL.RH@GMAIL.COM,sí,,WWW.LASIESTA.MX,COUNTRY CLUB,83010
44,01 Dictamen IFS,no,RINCON AVELLANO SA,1,51-100,Hospedaje y alimentos,Restaurantes con servicio de preparación de alimentos a la carta o de ,RINCONAVELLANO@HOTMAIL.COM,no,,,RAQUET CLUB NORTE,83200
44,01 Dictamen IFS,no,SERVICIOS GRASTRONOMICOS MASI SA DE CV,1,51-100,Hospedaje y alimentos,Restaurantes con servicio de preparación de alimentos a la carta o de ,MARKITOSTARAZON@HOTMAIL.COM,no,,WWW.MOCHOMOS.MX,BACHOCO,83104
44,01 Dictamen IFS,no,ADMINISTRADORA DE SERVICIOS A MOTELES SA,1,51-100,Hospedaje y alimentos,Moteles,MOTEL.LANUIT2020@GMAIL.COM,no,,,LAS GRANJAS,83250
44,01 Dictamen IFS,no,OPERADORA TOPOLOBAMPO SA DE CV,1,51-100,Hospedaje y alimentos,Restaurantes con servicio de preparación de pescados y mariscos,NOMINAS@RESTAURANTEFARALLON.MX,no,,,LAS COLIONAS,83150
44,01 Dictamen IFS,no,INGENIERIA Y PROCESOS MINEROS ESPECIALIZADOS INPROMINE SA DE CV,1,51-100,Otros servicios,Reparación y mantenimiento de maquinaria y equipo industrial,INPROMINE@GMAIL.COM,no,,WWW.INPROMINE.COM,CENTENARIO,83260
44,01 Dictamen IFS,no,GUANATE SC DE RL,1,51-100,Otros servicios,Servicios funerarios,PLAZAHERMOSILLOPABS@GMAIL.COM,no,,WWW.PABS.COM,CENTRO,83000
44,01 Dictamen IFS,no,TECNOLOGIA DIESEL SA DE CV,1,51-100,Otros servicios,Reparación mecánica en general de automóviles y camiones,OBORBON@TPITIC.COM.MX,no,,,LOS NARANJOS,83060
43,03 Expediente Vivo,no,INMOBILIARIA GROEN SA DE CV,2,31-50,Construcción,Edificación de vivienda unifamiliar,OCASILLAS@GROEN.COM.MX,no,6623161165,WWW.GROEN.COM.MX,PROYECTO RIO SONORA,
43,03 Expediente Vivo,no,ALMADA URREA SA DE CV,2,31-50,Manufactura,Fabricación de tubos y bloques de cemento y concreto,CONTADOR@CAROLINABLOCK.COM.MX,no,6444108800,WWW.CAROLINABLOCK.MX,MESA DEL SERI,83303
43,03 Expediente Vivo,sí,ESPECIAS ARIES SA DE CV,2,31-50,Comercio menudeo,"Comercio al por menor de semillas y granos alimenticios, especias y ch",AVILESJESUS@HOTMAIL.COM,no,6622060008,WWW.ESPECIASARIES.MX,SAN PEDRO EL SAUCITO,
43,03 Expediente Vivo,sí,TODO EN SUSPENSION Y FRENOS MUVI SA DE CV,2,31-50,Comercio menudeo,"Comercio al por menor de partes y refacciones nuevas para automóviles,",CONTABILIDAD@FYSSON.COM.MX,no,6624363487,WWW.FYSSON.COM.MX,LUIS ENCINAS,83138
43,03 Expediente Vivo,no,INTEGRACION ADMINISTRATIVA DE SONORA AB S DE RL DE CV,2,31-50,Serv. profesionales,Servicios de consultoría en administración,INTEGRACIONABSONORA@GMAIL.COM,no,6623132308,WWW.INTEGRACIONADMINISTRATIVA.COM.MX,CENTRO,83000
43,03 Expediente Vivo,no,COLEGIO EDIA SC,2,31-50,Educación,Escuelas del sector privado que combinan diversos niveles de educación,EVAZQUEZ@EDIA.EDU.MX,no,6622567989,WWW.EDIA.EDU.MX,STAUS,83249
43,03 Expediente Vivo,sí,CARNES ASADAS DE HERMOSILLO SA DE CV,2,31-50,Hospedaje y alimentos,Restaurantes con servicio de preparación de tacos y tortas,JLRO8307@GMAIL.COM,no,6621462845,,CONSTITUCION,83150
42,03 Expediente Vivo,sí,GRUPO CALZAPATO SA DE CV,4,11-30,Comercio menudeo,Comercio al por menor de calzado,ADMINISTRACION@CALZZAPATO.COM,no,,WWW.CALZZAPATO.COM,SOLIDARIDAD,
42,03 Expediente Vivo,sí,COMERCIAL IAC SA DE CV,4,11-30,Comercio menudeo,"Comercio al por menor de ropa, excepto de bebé y lencería",GUADALUPE.CORONA@VERTICHE.COM.MX,sí,,WWW.VERTICHE.COM.MX,CENTRO NORTE,
40,03 Expediente Vivo,no,AGROFESA SA DE CV,2,31-50,Agro,Beneficio de productos agrícolas,COORDINADOR@AGROFESA.COM,no,,AGROFESA.COM,AGROFESA,83344
40,03 Expediente Vivo,no,SEÑALAMIENTOS Y SERVICIOS INTEGRALES DEL NOROESTE SA DE CV,2,31-50,Construcción,Instalación de señalamientos y protecciones en obras viales,SSINOSA38@HOTMAIL.COM,no,,,VILLA HERMOSA,83280
40,03 Expediente Vivo,no,ACEROS MEXICO SA DE CV,2,31-50,Manufactura,Fabricación de tubos y postes de hierro y acero,CONTABILIDAD@ACEROSMEXICO.COM,no,,WWW.ACEROSMEXICO.COM.MX,SAN PEDRO SAUCITO,
40,03 Expediente Vivo,no,AMPHENOL OPTIMIZE MEXICO SA DE CV,2,31-50,Manufactura,Fabricación de componentes electrónicos,APORTILLO@AMPHENOL-OPTIMIZE.COM,no,,,RIO SONORA,
40,03 Expediente Vivo,no,PROMEV S DE RL DE CV,2,31-50,Manufactura,Recubrimientos y terminados metálicos,CONTABILIDAD@PROMEV.MX,no,,WWW.PROMEV.MX,SOLIDARIDAD,83116
40,03 Expediente Vivo,no,ALFONSO R BOURS SA DE CV,2,31-50,Comercio mayoreo,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y ",MYRIAM.FLORES@ARBOURS.COM.MX,sí,,WWW.ARBOURS.COM,EL LLANO,
40,03 Expediente Vivo,no,DICONSA SA DE CV,2,31-50,Comercio mayoreo,Comercio al por mayor de abarrotes,MNDELGADO@DICOSA.GOB.MX,no,,WWW.GOB.MX/DICONSA,Y GRIEGA,83290
40,03 Expediente Vivo,no,EMPACADORA ROSARITO SA DE CV,2,31-50,Comercio mayoreo,Comercio al por mayor de embutidos,A.SOTO@PRODUCTOSROSARITO.COM,sí,,WWW.PRODUCTOSROSARITO.COM.MX,CENTRO,83000
40,03 Expediente Vivo,no,RODAMIENTOS Y ACCESORIOS SA DE CV,2,31-50,Comercio mayoreo,Comercio al por mayor de maquinaria y equipo para la industria manufac,JOEL.GOMEZ@RYASA.COM.MX,sí,,WWW.RYASA.COM.MX,CENTRO,83190
40,03 Expediente Vivo,sí,COMBUSTIBLES Y SERVICIOS HAV SA DE CV,2,31-50,Comercio menudeo,Comercio al por menor de gasolina y diesel,DLABRADA@GRUPOPERISUR.COM,no,,WWW.PERISUR.COM,COMPOSTELA,83224
40,03 Expediente Vivo,sí,GASERVICIO SA DE CV,2,31-50,Comercio menudeo,Comercio al por menor de gasolina y diesel,BVEGA@GASERVICIO.COM,no,,WWW.GASERVICIO.COM,REAL DEL ARCO,
40,03 Expediente Vivo,sí,GASERVICIO MORELOS SA DE CV,2,31-50,Comercio menudeo,Comercio al por menor de gasolina y diesel,LABRIL@GASERVICIO.COM,no,,WWW.GASERVICIO.COM,POBLADO MIGUEL ALEMAN,
40,03 Expediente Vivo,sí,GASERVICIO SANTA CLARA SA DE CV,2,31-50,Comercio menudeo,Comercio al por menor de gasolina y diesel,RGURROLA@GASERVICIO.COM,no,,WWW.GASERVICIO.COM,PARQUE INDUSTRIAL,
40,03 Expediente Vivo,sí,GASERVICIO ORIENTE SA DE CV,2,31-50,Comercio menudeo,Comercio al por menor de gasolina y diesel,BVEGA@GASERVICIO.COM,no,,WWW.GASERVICIO.COM,LAS AMAPOLAS,
40,03 Expediente Vivo,sí,PROVEEDORES DE LA CONSTRUCCION SA DE CV,2,31-50,Comercio menudeo,Comercio al por menor de materiales para la construcción en tiendas de,ARAMIREZ@E-PROCONSA.COM,no,,WWW.E-PROCONSA.COM,NUEVA PALMIRA RESIDENCIAL,
40,03 Expediente Vivo,sí,SERVICIOS A LA NAVEGACION EN EL ESPACIO AEREO MEXICANO,2,31-50,Transportes,Servicios a la navegación aérea,ENLACESENEAM@SCT.GOB.MX,no,,WWW.SENEAM.GOB.MX,IGNACIO PESQUEIRA GARCIA,83220
40,03 Expediente Vivo,sí,AUTOTRANSPORTES DE CARGA TRES GUERRAS SA DE CV,2,31-50,Transportes,Otro autotransporte foráneo de carga general,VDEALBA@TRESGUERRAS.COM.MX,no,,WWW.TRESGUERRAS.COM.MX,VILLA DE SERIS,83280
40,03 Expediente Vivo,sí,AUTOTRANSPORTES TUFESA SA DE CV,2,31-50,Transportes,Transporte colectivo foráneo de pasajeros de ruta fija,HERMOSILLO@TUFESA.COM.MX,no,,WWW.TUFESA,EL COLOSO BAJO,83040
40,03 Expediente Vivo,sí,ENLACES TURISTICOS DE SONORA  SA DE CV,2,31-50,Transportes,Alquiler de autobuses con chofer,COTIZACIONES.ETS@GMAIL.COM,sí,,WWW.ETSAUTOBUSES.COM,SAN BENITO,83190
40,03 Expediente Vivo,no,A TERCEROS VIVIENDA Y EQUIPAMIENTO SAPI DE CV,2,31-50,Inmobiliario,Alquiler sin intermediación de oficinas y locales comerciales,CONTABILIDAD@CASASATERCEROS.COM,no,,WWW.CASASATERCEROS.COM,CENTENARIO,83260
40,03 Expediente Vivo,no,INSPECTORATE DE MEXICO  SA DE CV,2,31-50,Serv. profesionales,Laboratorios de pruebas,SERGIO.DAVID@INSPECTORATE.COM,sí,,WWW.BUREAUVERITAS.COM,UNION DE LADRILLEROS,83179
40,03 Expediente Vivo,no,COLEGIO BICULTURAL CANANEA SC,2,31-50,Educación,Escuelas del sector privado que combinan diversos niveles de educación,RAMSESMARINCORRAL@HOTMAIL.COM,no,,WWW.CBC.EDU.MX,JESUS GARCIA,83140
40,03 Expediente Vivo,no,FOMENTO EDUCATIVO Y CULTURAL FRANCISCO DE IBARRA AC,2,31-50,Educación,Escuelas de educación superior del sector privado,AUX_CONTABILIDAD@UAD.MX,sí,,WWW.UAD.MX,CAFE COMBATE,83165
